temperature,humidity,wind_speed,drought_index,vegetation,slope,risk
26.49,82.79,77.35,223.3,0.64,17.99,1
49.34,53.26,75.14,92.27,0.97,8.04,2
18.79,44.11,58.28,250.94,0.61,23.01,1
28.48,56.89,20.38,567.03,0.0,41.65,1
40.97,65.36,29.14,55.98,0.66,14.86,1
25.99,81.32,57.58,240.26,0.31,18.38,1
19.46,42.84,75.23,541.85,0.9,27.7,1
25.53,54.31,0.03,229.53,0.43,26.1,1
30.48,24.23,37.85,720.94,0.8,7.64,1
17.97,51.39,50.64,268.15,0.82,33.8,1
21.97,7.2,19.59,380.11,0.85,3.28,1
29.51,61.68,15.55,557.08,0.49,10.98,1
41.28,74.3,8.53,340.12,0.18,43.11,1
33.13,9.52,19.94,678.67,0.46,36.06,1
35.84,90.5,71.31,490.12,0.72,22.72,1
44.07,54.31,71.78,594.92,0.47,11.66,2
41.8,51.92,50.14,219.68,0.08,12.86,1
24.51,33.77,43.21,110.7,0.23,31.23,1
29.27,53.84,33.26,165.47,0.42,40.72,1
35.44,67.6,68.54,612.48,0.38,0.27,1
44.87,90.81,33.52,598.01,0.55,27.15,1
22.72,24.75,34.87,23.22,0.34,30.56,1
31.36,16.49,49.78,21.57,0.39,25.4,1
15.95,62.85,10.86,369.36,0.05,17.06,0
41.64,39.12,60.16,665.54,0.25,3.69,2
15.68,53.55,79.99,279.97,0.65,35.16,1
48.24,22.94,1.63,121.91,0.13,30.13,1
34.74,24.62,55.96,613.52,0.17,27.33,2
43.68,91.82,8.65,20.54,0.31,30.48,1
48.54,40.7,57.2,60.8,0.69,28.23,2
44.76,59.04,9.68,787.08,0.78,15.62,2
29.99,38.35,40.48,272.98,0.85,37.0,1
37.25,79.58,56.58,348.39,0.73,43.45,1
24.45,77.74,43.05,386.8,0.44,32.9,1
44.08,12.8,70.53,195.09,0.46,27.46,2
28.26,7.58,68.08,145.47,0.21,35.9,1
39.54,29.86,0.81,758.45,0.09,32.4,2
32.1,73.23,55.25,516.72,0.49,35.68,1
39.21,32.56,46.52,378.61,0.53,19.15,2
41.11,34.77,56.23,216.73,0.25,5.43,1
33.76,73.6,14.81,173.11,0.48,32.61,1
49.18,52.22,22.64,80.42,0.19,10.24,1
33.69,29.69,77.94,442.69,0.7,5.68,2
45.4,49.18,69.82,459.25,0.47,19.82,2
47.94,48.0,65.77,320.57,0.07,28.33,2
16.88,18.43,45.03,243.07,0.99,5.33,1
42.68,25.31,41.81,360.41,0.44,38.71,2
49.65,32.48,49.68,487.7,0.74,42.64,2
38.11,19.14,13.91,60.05,0.0,20.27,1
35.78,31.21,18.52,565.56,0.7,20.43,1
42.57,61.26,52.89,746.93,0.43,24.51,1
37.67,86.76,66.13,57.13,0.17,13.84,1
25.1,16.19,55.09,559.79,0.94,22.52,1
32.28,12.24,3.19,345.62,0.32,11.27,1
44.26,56.77,76.06,799.66,0.67,12.13,2
16.41,73.06,37.64,521.21,0.92,8.17,1
32.21,13.21,27.84,266.65,0.67,38.6,1
26.54,67.43,23.06,756.15,0.81,24.75,1
26.31,92.32,32.33,411.68,0.99,29.59,1
33.99,42.19,15.01,289.42,0.76,28.14,1
34.22,88.49,35.05,558.6,0.12,43.79,1
36.31,26.54,12.67,440.67,0.55,4.19,1
31.15,15.57,66.57,398.7,0.72,22.9,2
24.57,80.13,78.42,194.98,0.55,17.26,1
45.78,82.76,22.1,632.0,0.41,42.04,1
32.77,78.85,22.63,238.84,0.59,44.95,1
33.85,36.06,44.15,434.74,0.46,14.48,1
21.6,67.77,45.74,186.85,0.78,1.96,1
43.4,39.75,53.1,656.6,0.98,22.29,2
16.3,50.21,47.21,695.76,0.87,19.81,1
40.29,41.9,52.38,123.49,0.47,43.61,1
26.85,67.34,51.99,681.41,0.85,38.67,1
40.16,73.35,69.79,28.72,0.07,28.4,1
47.23,94.77,59.74,347.18,0.1,28.52,1
39.29,86.31,3.68,636.91,0.29,16.87,1
20.09,52.8,45.27,634.02,0.17,3.55,1
23.43,87.15,11.45,368.92,0.25,11.49,0
15.33,77.42,72.1,542.09,0.16,19.88,1
37.36,43.19,20.01,676.24,0.2,17.31,1
31.91,26.35,45.75,459.85,0.99,13.29,2
24.61,55.93,54.86,595.74,0.05,27.29,1
32.39,86.37,22.9,639.09,0.61,15.85,1
38.72,69.88,52.73,670.67,0.63,40.65,1
37.62,32.8,35.27,463.66,0.73,4.06,1
21.15,16.89,43.15,777.19,0.53,41.11,2
44.07,28.13,65.98,385.48,0.81,33.6,2
48.7,17.67,77.32,688.11,0.72,44.1,2
48.85,77.41,29.26,632.55,0.01,24.15,1
38.53,57.61,65.79,752.23,0.11,10.52,2
15.88,84.58,44.91,732.2,0.22,2.84,1
25.58,41.75,11.18,757.01,0.3,22.17,1
18.4,84.85,10.85,362.92,0.67,33.44,0
40.98,18.91,33.19,79.22,0.49,18.37,1
48.3,7.94,29.64,354.71,0.95,38.5,2
34.06,93.01,28.69,318.51,0.19,5.5,1
44.68,45.92,53.02,513.36,0.6,0.96,2
19.41,55.81,5.49,612.13,0.21,9.72,1
45.44,34.57,11.8,720.42,0.0,38.63,2
23.77,20.7,52.88,20.62,0.01,35.55,1
23.33,34.14,13.94,41.92,0.74,23.67,1
42.23,51.19,8.72,403.07,0.95,1.95,1
42.41,83.03,41.72,366.43,0.96,2.74,1
39.01,49.12,72.78,58.79,0.08,27.37,1
17.3,29.75,50.65,438.69,0.33,44.76,1
36.19,13.93,56.14,682.23,0.65,34.6,2
40.23,24.35,36.12,182.79,0.34,20.41,1
29.94,64.86,29.94,122.11,0.92,3.02,1
44.11,13.39,7.73,591.04,0.81,25.04,2
26.54,16.0,28.29,532.27,0.75,39.06,1
40.24,92.16,48.03,281.32,0.58,9.57,1
18.79,81.08,29.4,610.08,0.57,36.32,1
44.58,92.71,65.47,490.86,0.64,1.18,1
24.36,21.24,56.22,247.19,0.34,0.27,1
45.45,55.97,32.06,113.5,0.63,1.38,1
29.69,35.68,29.6,577.28,0.78,25.54,1
17.97,9.73,12.59,494.27,0.67,12.24,1
30.47,29.59,60.4,91.05,0.43,12.75,1
38.75,48.8,53.37,36.33,0.4,26.97,1
22.39,17.35,20.44,262.5,0.01,33.62,1
21.15,39.22,56.29,400.21,0.83,36.28,1
16.48,6.69,73.69,689.69,0.58,25.8,2
39.83,42.59,9.21,16.69,0.32,36.06,1
47.19,12.93,67.56,194.65,0.59,23.58,2
28.85,32.92,27.16,266.45,0.17,22.97,1
46.71,36.44,58.19,655.16,0.82,10.63,2
20.13,22.75,48.19,608.17,0.66,7.97,1
41.41,73.39,35.91,739.32,0.56,28.59,1
36.86,82.78,50.18,120.77,0.07,19.9,1
16.97,50.66,24.83,361.53,0.06,37.43,1
17.69,82.78,68.42,492.01,0.51,20.82,1
46.36,45.48,64.79,521.47,0.32,21.4,2
20.28,10.57,8.28,719.3,0.34,32.14,1
23.67,44.4,35.15,418.2,0.16,16.78,1
24.9,41.79,27.07,478.31,0.79,29.13,1
38.74,30.57,57.9,525.25,0.91,39.3,2
26.67,57.45,11.31,279.86,0.97,31.43,1
47.83,32.86,30.13,633.33,0.81,30.16,2
44.01,71.49,54.83,421.11,0.65,19.05,1
21.31,24.28,75.81,389.02,0.23,6.19,1
17.7,81.0,8.09,616.7,0.84,39.77,1
41.82,16.79,30.14,129.8,0.83,34.7,2
43.32,19.9,35.01,328.69,0.68,10.69,2
41.2,45.4,42.72,247.57,0.81,21.11,1
44.23,38.11,75.77,787.55,0.46,12.68,2
48.82,78.52,64.1,110.72,0.25,28.85,1
45.59,54.91,8.21,676.71,0.85,12.83,1
46.69,18.26,35.0,757.13,0.22,20.3,2
27.24,7.4,4.26,401.61,0.24,44.75,1
47.58,80.53,52.0,633.1,0.14,12.91,1
44.04,67.65,11.1,564.43,0.45,0.24,1
44.22,54.39,58.18,422.22,0.11,12.96,1
25.54,9.3,33.59,635.12,0.46,4.99,1
15.58,51.38,19.36,114.86,0.43,27.67,0
23.42,42.49,53.15,68.49,0.97,3.05,1
49.59,54.87,31.24,376.11,0.64,44.15,2
23.88,6.46,63.08,275.84,0.73,28.27,1
26.64,8.99,43.68,650.81,0.18,35.06,1
31.26,67.59,50.54,649.2,0.06,34.93,1
16.53,22.95,3.35,746.7,0.52,44.51,1
34.01,27.8,60.26,152.88,0.36,35.14,1
19.36,38.12,71.16,594.65,0.89,17.4,1
49.08,49.66,39.8,739.45,0.52,36.05,2
36.09,79.01,43.64,256.97,0.08,29.74,1
25.73,59.24,34.09,551.81,0.35,1.91,1
49.94,29.71,78.4,758.32,0.08,28.69,2
27.72,77.1,54.35,762.23,0.14,27.34,1
17.35,75.07,29.31,306.28,0.57,27.23,0
38.77,90.39,29.76,610.47,0.57,23.83,1
23.74,15.21,58.85,399.24,0.39,25.28,1
24.16,28.43,35.7,797.09,0.29,41.24,1
44.85,45.68,71.89,356.09,0.09,30.69,2
44.59,33.76,27.79,51.95,0.54,40.11,1
47.46,62.39,63.5,407.0,0.12,9.04,1
19.86,76.13,2.1,443.22,0.37,36.16,0
18.02,32.84,79.97,575.1,0.53,34.61,1
43.82,11.64,77.79,513.87,0.45,30.6,2
42.31,62.58,14.56,773.01,0.43,40.98,2
16.94,16.17,12.24,131.73,0.32,31.92,1
46.32,81.13,20.05,508.05,0.55,5.63,1
25.6,53.01,40.21,134.91,0.94,6.94,1
36.18,80.83,45.09,660.19,0.03,2.05,1
37.45,56.91,52.09,613.57,0.42,28.75,1
25.14,91.1,38.64,643.75,0.68,13.38,1
17.55,10.39,35.17,387.4,0.2,27.3,1
40.7,82.47,78.03,104.61,0.37,25.27,1
26.17,46.98,21.4,198.34,0.1,13.06,1
23.69,82.88,12.78,261.95,0.58,14.07,0
41.71,49.84,41.18,399.01,0.31,1.04,1
48.83,24.36,28.23,40.43,0.49,39.71,1
37.9,47.35,42.94,677.74,0.43,39.71,2
27.81,41.05,45.62,155.72,0.55,3.31,1
32.65,73.8,22.38,791.27,0.68,5.35,1
42.82,35.52,75.12,603.97,0.2,22.91,2
32.5,9.08,10.96,266.43,0.47,20.56,1
26.48,60.18,13.0,792.49,0.74,13.47,1
26.77,79.55,42.59,566.99,0.3,36.71,1
49.3,57.53,63.74,580.26,0.69,1.2,2
31.61,92.04,62.63,620.93,0.58,32.46,1
37.02,60.78,67.29,118.22,0.68,1.42,1
48.19,14.89,1.51,250.95,0.15,31.07,1
47.22,83.55,58.87,49.83,0.14,9.33,1
26.38,64.6,42.04,251.0,0.17,41.05,1
42.02,69.88,51.46,554.65,0.61,8.65,1
23.63,55.23,17.99,778.33,0.3,13.01,1
26.1,36.39,74.7,636.32,0.27,5.48,2
38.68,39.17,78.41,654.7,0.95,36.21,2
39.99,36.17,35.39,205.16,0.48,9.09,1
33.85,88.97,55.69,109.82,0.62,26.41,1
33.59,62.42,4.2,330.64,0.72,4.52,1
41.98,5.47,44.03,743.28,0.41,42.08,2
21.98,91.75,25.69,516.72,0.91,4.03,0
35.09,53.16,57.85,749.34,0.91,7.88,2
47.19,94.75,31.76,396.31,0.94,43.3,1
47.41,83.91,0.74,454.37,0.11,44.23,1
34.02,49.45,75.08,680.85,0.47,8.68,2
18.94,19.62,36.71,205.81,0.19,33.15,1
41.5,20.79,68.49,717.63,0.83,23.19,2
18.04,65.23,14.78,112.49,0.32,11.16,0
41.38,90.86,24.16,578.31,0.01,29.42,1
39.25,10.59,9.46,245.45,0.41,22.61,1
25.88,15.57,73.29,236.03,0.61,9.86,1
19.67,18.79,59.82,484.59,0.42,24.72,1
38.24,24.66,19.8,603.79,0.87,3.68,2
30.64,68.34,6.25,451.33,0.06,24.64,1
20.24,34.53,41.63,92.99,0.21,26.24,1
18.18,50.93,64.7,362.75,0.51,20.56,1
43.24,70.1,31.68,653.16,0.75,26.02,1
16.59,36.01,5.1,795.3,0.93,3.11,1
29.31,74.21,61.27,782.67,0.65,18.92,1
49.75,39.42,69.57,725.41,0.38,30.72,2
37.87,36.3,14.28,429.81,0.53,32.75,1
22.79,5.31,1.82,238.69,0.67,24.5,1
23.66,36.15,22.05,749.93,0.73,5.08,1
43.33,42.73,61.28,707.01,0.02,9.27,2
35.92,68.3,3.89,592.43,0.4,10.55,1
22.6,82.74,4.52,403.12,0.29,36.71,0
35.93,65.53,25.65,241.41,0.14,29.71,1
22.74,32.05,4.88,758.82,0.88,41.02,1
32.35,92.51,75.33,537.07,0.79,14.34,1
29.57,18.43,30.12,603.53,0.47,38.22,1
43.2,87.33,44.99,774.23,0.56,6.03,1
23.5,23.3,51.74,737.78,0.85,4.16,1
24.4,65.63,48.23,698.9,0.19,34.28,1
40.35,55.3,38.35,695.58,0.33,43.07,2
48.67,15.56,79.97,383.14,0.24,27.2,2
22.16,87.36,44.17,620.41,0.38,24.01,1
32.95,49.75,7.89,785.05,0.47,37.79,1
47.0,38.36,33.11,450.02,0.22,6.57,1
35.27,42.58,12.19,263.89,0.38,37.5,1
32.48,63.91,54.79,205.86,0.82,43.49,1
20.89,76.55,13.54,576.25,0.49,41.26,1
33.97,62.76,4.7,27.06,0.85,42.53,1
29.43,80.83,18.51,565.74,0.01,22.76,1
28.06,60.61,53.34,493.22,0.48,21.95,1
15.41,52.65,21.98,781.98,0.02,36.59,1
38.59,77.56,72.78,85.61,0.1,6.7,1
43.53,29.06,31.75,298.44,0.41,25.43,2
49.66,25.33,54.72,678.29,0.65,38.62,2
28.27,54.74,4.49,7.56,0.17,22.49,0
30.19,75.59,45.27,686.37,0.1,23.77,1
45.38,84.88,38.04,37.25,0.07,41.65,1
46.48,55.72,2.63,743.01,0.31,43.27,1
39.94,40.85,6.15,129.96,0.24,37.56,1
28.62,85.69,26.54,604.49,0.14,44.48,1
49.1,9.83,34.97,670.94,0.34,34.61,2
48.42,40.7,61.88,23.7,0.27,44.67,1
47.94,43.87,54.38,528.54,0.09,27.84,2
42.93,69.18,6.56,123.38,0.71,28.53,1
18.73,5.47,24.66,287.93,0.27,5.96,1
21.56,45.4,44.38,326.44,0.03,15.93,1
26.36,39.67,23.35,310.24,0.08,40.55,1
46.68,93.04,45.76,135.67,0.38,6.25,1
17.21,44.12,33.69,387.39,0.08,11.33,1
23.63,61.25,47.5,156.44,0.11,13.71,1
36.71,77.37,26.36,267.79,0.82,38.68,1
49.1,17.25,25.65,757.82,0.2,14.14,2
25.2,67.55,39.28,460.7,0.24,16.92,1
43.58,40.36,9.11,451.08,0.59,24.55,1
48.36,46.55,56.67,350.76,0.29,31.18,2
43.66,76.61,32.73,399.44,0.63,10.89,1
42.62,11.66,79.26,383.39,0.4,22.8,2
47.21,67.25,43.49,632.58,0.36,40.3,1
17.97,74.21,52.61,284.01,0.65,1.99,1
49.43,65.97,31.97,602.15,0.97,19.37,2
32.87,51.69,46.44,460.19,0.45,17.6,1
42.03,57.97,40.04,275.97,0.02,4.7,1
19.06,89.66,11.33,249.51,0.46,9.31,0
31.9,47.85,35.05,557.41,0.32,13.51,1
44.72,63.32,54.17,131.48,0.98,10.98,1
21.11,19.41,44.79,766.77,0.23,18.23,1
30.12,7.63,49.13,157.86,0.59,17.5,2
39.67,23.52,60.19,646.98,0.06,4.58,2
26.41,46.18,20.99,690.11,0.53,28.76,1
35.89,60.02,46.96,278.34,0.85,27.78,1
25.41,60.3,6.78,107.16,0.12,13.74,0
21.41,67.41,40.87,334.59,0.14,17.27,1
39.27,63.07,79.99,443.93,0.49,6.31,2
26.01,45.59,4.29,287.23,0.01,6.14,1
32.69,49.55,54.78,332.5,0.84,21.99,1
17.89,7.78,60.88,233.67,0.27,24.19,1
40.99,73.93,43.98,90.57,0.11,34.88,1
43.81,38.02,65.81,33.29,0.72,24.59,2
44.05,72.62,23.82,799.45,0.45,15.69,1
43.59,44.52,79.52,620.51,0.24,36.48,2
39.88,61.95,13.28,111.39,0.21,9.31,1
17.08,36.57,22.49,431.01,0.32,31.68,1
45.03,93.69,54.34,76.18,0.96,35.36,1
47.16,94.32,69.36,101.51,0.87,11.24,1
41.65,65.86,39.16,461.94,0.27,18.64,1
30.82,62.03,70.41,74.48,0.52,12.52,1
48.26,34.46,0.2,619.31,0.73,32.89,2
31.05,64.77,28.66,50.66,0.53,9.8,1
24.4,79.55,27.02,462.35,0.57,21.84,1
27.03,66.43,3.87,79.66,0.78,20.68,1
30.45,5.06,76.64,161.85,0.69,5.94,2
37.75,19.31,74.62,219.22,0.65,11.27,1
20.79,40.67,24.44,559.55,0.23,29.5,1
39.63,5.1,38.14,106.16,0.23,30.6,2
43.6,93.93,33.79,105.74,0.07,17.24,1
40.58,14.22,25.07,704.79,0.14,34.81,2
49.75,17.86,42.44,6.78,0.65,19.8,2
40.29,61.53,12.11,329.37,0.69,38.7,1
41.34,58.06,30.72,770.6,0.31,6.29,1
24.69,12.58,44.27,480.01,0.61,35.05,1
38.04,32.15,41.42,407.62,0.75,13.3,1
16.91,85.81,76.37,395.91,0.11,22.48,1
49.22,93.82,74.71,105.59,0.86,25.58,1
27.79,66.46,61.02,763.56,0.77,0.75,1
16.39,10.44,63.14,405.29,0.63,22.55,1
29.54,68.16,6.59,429.25,0.62,12.49,1
22.11,77.73,42.91,312.59,0.63,37.55,1
38.84,10.95,55.89,583.97,0.85,2.61,2
30.87,59.79,24.74,593.35,0.74,5.37,1
39.78,68.13,13.11,762.41,0.52,35.23,1
19.44,75.3,21.5,709.13,0.77,1.32,1
43.25,29.48,5.11,569.86,0.58,3.47,1
32.49,56.02,29.42,204.09,0.1,25.83,1
40.3,25.56,40.71,35.23,0.86,11.0,1
20.25,88.8,68.6,442.29,0.91,33.33,1
29.68,33.96,33.3,576.23,0.27,3.5,1
46.57,21.14,64.35,785.13,0.95,3.1,2
31.28,30.41,67.59,261.84,0.55,0.36,1
25.64,61.04,37.11,473.35,0.49,34.77,1
21.84,86.04,60.84,196.1,0.01,18.45,1
44.39,83.95,76.08,1.17,0.66,38.21,1
40.45,14.36,42.39,190.53,0.49,2.7,2
18.26,87.91,71.78,415.81,0.7,16.76,1
49.11,12.64,7.65,106.81,0.82,3.37,1
48.75,26.31,20.88,252.01,0.8,31.53,2
40.74,33.63,21.76,59.75,0.2,35.1,1
20.75,46.94,32.52,428.74,0.96,9.34,1
25.79,28.85,9.59,126.09,0.69,37.19,1
44.26,34.5,7.3,198.58,0.36,23.11,1
38.7,28.42,79.25,24.87,0.4,20.35,1
31.17,77.35,11.18,9.57,0.83,44.22,1
19.58,79.13,29.78,504.24,0.64,26.2,1
15.76,10.8,72.2,354.75,0.13,40.73,1
44.03,34.84,3.42,368.8,0.17,25.82,1
16.03,66.49,13.82,171.77,0.19,12.59,0
45.92,8.12,49.53,196.63,0.3,18.54,2
24.79,17.35,15.96,707.72,0.53,28.38,1
43.08,76.54,79.15,625.53,0.36,24.5,1
32.58,39.95,14.39,255.1,0.22,40.31,1
42.25,10.27,79.32,423.55,0.77,44.98,2
37.99,28.99,65.3,733.81,0.06,44.84,2
22.68,81.19,63.79,283.84,0.84,38.03,1
43.22,67.79,73.12,22.57,0.7,42.64,1
34.73,55.68,15.06,790.4,0.88,22.15,1
18.16,25.94,17.5,421.16,0.0,41.31,1
22.05,16.74,57.36,735.02,0.84,14.56,2
47.1,74.69,67.72,688.54,0.96,16.81,2
47.97,40.6,8.08,241.41,0.14,7.09,1
48.62,63.43,13.94,774.99,0.69,41.8,2
42.54,25.09,47.12,140.28,0.31,30.98,2
48.21,90.38,31.33,795.43,0.97,1.46,1
36.08,87.89,77.4,176.72,0.57,42.15,1
23.33,93.41,13.43,708.26,0.09,31.9,1
37.37,84.8,35.73,212.17,0.25,3.05,1
15.04,39.73,58.61,775.28,0.88,22.19,1
28.25,54.14,8.11,383.59,0.86,29.29,1
17.58,81.12,23.59,254.97,0.95,3.34,0
20.95,38.79,58.56,437.64,0.9,4.19,1
31.9,7.79,75.4,132.0,0.89,7.07,1
18.54,23.5,15.2,557.76,0.72,32.85,1
23.31,9.47,45.74,671.88,0.15,16.24,1
29.97,31.51,52.96,480.17,0.2,1.16,1
17.87,80.94,24.67,317.97,0.49,29.75,0
18.19,53.97,14.79,708.39,0.37,20.06,1
22.92,29.17,4.93,601.79,0.67,3.86,1
27.03,53.73,77.66,471.78,0.55,37.84,1
33.74,83.02,37.99,705.32,0.48,3.55,1
46.6,69.29,40.17,720.36,0.8,30.49,2
41.5,20.56,78.75,777.73,0.81,5.68,2
29.82,93.95,34.83,797.82,0.63,37.53,1
47.0,11.03,31.05,317.88,0.33,12.43,2
31.04,83.61,62.92,498.45,0.52,18.88,1
35.58,73.25,75.17,739.94,0.56,4.54,1
25.01,53.21,27.51,328.71,0.38,21.85,1
24.64,17.95,48.69,554.93,0.04,40.03,1
26.6,26.38,59.66,736.67,0.9,0.91,2
24.81,49.25,55.69,78.57,0.87,6.05,1
49.1,44.88,66.07,215.54,0.42,29.05,2
43.84,71.69,60.76,693.75,0.82,23.19,2
20.56,33.0,40.54,108.52,0.85,39.57,1
44.15,80.33,19.96,365.16,0.92,31.71,1
24.59,79.12,40.41,508.33,0.12,1.38,1
21.22,83.34,46.95,279.81,0.16,40.25,1
41.21,67.0,22.81,309.25,0.16,25.75,1
37.66,65.99,21.53,327.61,0.02,35.11,1
41.87,5.8,72.92,517.9,0.6,0.38,2
25.69,92.03,51.42,339.05,0.38,15.69,1
23.82,47.0,54.18,659.45,0.4,4.6,1
44.51,38.68,51.79,487.24,0.3,4.86,2
17.23,93.95,51.25,689.19,0.26,32.0,1
20.25,73.89,71.97,644.34,0.8,27.0,1
38.12,66.27,57.7,524.32,1.0,11.67,1
16.24,68.73,45.76,151.93,0.73,10.01,1
33.71,75.64,72.52,537.49,0.51,38.04,1
21.34,13.78,10.24,206.92,0.81,34.33,1
21.41,66.17,26.85,71.44,0.36,33.49,0
26.6,28.45,23.52,680.97,0.47,38.99,1
35.43,89.99,5.7,711.54,0.5,39.04,1
16.89,81.88,10.99,160.24,0.41,25.62,0
46.73,46.18,25.31,572.53,0.78,21.94,2
37.21,5.42,21.88,608.95,0.17,34.4,2
32.14,73.72,7.04,491.58,0.63,18.15,1
16.32,22.95,29.85,11.26,0.32,37.5,1
21.67,65.91,50.13,199.06,0.69,15.5,1
35.6,20.03,65.91,238.56,0.29,32.75,2
35.87,35.41,71.04,796.38,0.34,40.56,2
48.18,87.64,32.27,182.73,0.73,5.9,1
40.69,58.07,13.52,293.27,0.65,1.68,1
33.72,9.37,79.57,529.58,0.65,0.89,2
39.14,42.51,30.42,437.83,0.47,6.89,1
25.54,64.55,53.0,215.98,0.61,6.17,1
44.07,14.44,57.5,94.19,0.11,4.78,2
24.2,52.08,16.13,562.75,0.3,1.77,1
32.37,23.69,74.65,264.48,0.0,30.22,2
38.42,18.42,7.21,409.36,0.72,4.56,1
23.96,25.8,79.09,236.82,0.46,4.49,1
25.17,77.14,25.02,590.83,0.09,34.12,1
16.61,81.68,53.07,136.41,0.36,19.7,0
18.25,78.35,14.63,320.62,0.96,12.23,0
28.5,81.56,63.99,519.08,0.8,5.09,1
47.99,19.35,33.28,472.6,0.8,30.53,2
21.34,39.18,28.69,23.05,0.68,37.73,1
47.21,15.16,32.9,36.78,0.26,14.14,1
39.66,66.01,61.4,461.32,0.57,44.01,1
33.31,68.05,7.62,529.37,0.25,15.56,1
38.67,39.64,67.12,446.68,0.99,2.46,2
44.71,81.67,69.55,59.89,0.49,10.84,1
